	0
2020/1/2	7.159999847
2020/1/3	7.190000057
2020/1/6	7
2020/1/7	7.099999905
2020/1/8	6.860000134
2020/1/9	6.949999809
2020/1/10	7
2020/1/13	7.019999981
2020/1/14	7.110000134
2020/1/15	7.039999962
2020/1/16	7.070000172
2020/1/17	7.150000095
2020/1/20	7.050000191
2020/1/21	6.929999828
2020/1/22	6.789999962
2020/1/23	6.659999847
2020/1/24	6.710000038
2020/1/28	6.360000134
2020/1/29	6.510000229
2020/1/30	6.519999981
2020/1/31	6.409999847
2020/2/3	6.369999886
2020/2/4	6.510000229
2020/2/5	6.559999943
2020/2/6	6.659999847
2020/2/7	6.480000019
2020/2/10	6.420000076
2020/2/11	6.409999847
2020/2/12	6.46999979
2020/2/13	6.46999979
2020/2/14	6.429999828
2020/2/17	6.349999905
2020/2/18	6.230000019
2020/2/19	6.300000191
2020/2/20	6.670000076
2020/2/21	6.510000229
2020/2/24	6.019999981
2020/2/25	5.900000095
2020/2/26	5.71999979
2020/2/27	5.639999866
2020/2/28	5.53000021
2020/3/2	5.309999943
2020/3/3	5.230000019
2020/3/4	5.070000172
2020/3/5	5.070000172
2020/3/6	4.659999847
2020/3/9	4.150000095
2020/3/10	4.449999809
2020/3/11	4.039999962
2020/3/12	3.640000105
2020/3/13	3.180000067
2020/3/16	3.019999981
2020/3/17	2.859999895
2020/3/18	2.529999971
2020/3/19	2.140000105
2020/3/20	2.359999895
2020/3/23	2.410000086
2020/3/24	2.589999914
2020/3/25	3.269999981
2020/3/26	3.25
2020/3/27	3.109999895
2020/3/30	3.200000048
2020/3/31	3.230000019
2020/4/1	3.380000114
2020/4/2	3.200000048
2020/4/3	3.049999952
2020/4/6	3.049999952
2020/4/7	3.180000067
2020/4/8	3.25
2020/4/9	3.559999943
2020/4/14	3.680000067
2020/4/15	3.549999952
2020/4/16	3.470000029
2020/4/17	3.720000029
2020/4/20	3.589999914
2020/4/21	3.589999914
2020/4/22	3.359999895
2020/4/23	3.339999914
2020/4/24	3.390000105
2020/4/27	3.539999962
2020/4/28	3.5
2020/4/29	3.670000076
2020/4/30	3.859999895
2020/5/1	3.619999886
2020/5/4	3.559999943
2020/5/5	3.619999886
2020/5/6	3.5
2020/5/7	3.460000038
2020/5/8	3.400000095
2020/5/11	3.529999971
2020/5/12	3.539999962
2020/5/13	3.549999952
2020/5/14	3.329999924
2020/5/15	3.349999905
2020/5/18	3.380000114
2020/5/19	3.5
2020/5/20	3.529999971
2020/5/21	3.630000114
2020/5/22	3.599999905
2020/5/25	3.859999895
2020/5/26	4.070000172
2020/5/27	4.090000153
2020/5/28	4.090000153
2020/5/29	3.99000001
2020/6/1	4.010000229
2020/6/2	3.980000019
2020/6/3	4.190000057
2020/6/4	4.489999771
2020/6/5	4.630000114
2020/6/9	4.929999828
2020/6/10	4.949999809
2020/6/11	4.630000114
2020/6/12	4.489999771
2020/6/15	4.329999924
2020/6/16	4.519999981
2020/6/17	4.519999981
2020/6/18	4.349999905
2020/6/19	4.369999886
2020/6/22	4.190000057
2020/6/23	4.309999943
2020/6/24	4.190000057
2020/6/25	4.190000057
2020/6/26	3.809999943
2020/6/29	3.619999886
2020/6/30	3.779999971
2020/7/1	3.869999886
2020/7/2	3.910000086
2020/7/3	3.819999933
2020/7/6	3.789999962
2020/7/7	3.660000086
2020/7/8	3.609999895
2020/7/9	3.609999895
2020/7/10	3.50999999
2020/7/13	3.50999999
2020/7/14	3.49000001
2020/7/15	3.640000105
2020/7/16	3.700000048
2020/7/17	3.619999886
2020/7/20	3.630000114
2020/7/21	3.799999952
2020/7/22	3.670000076
2020/7/23	3.74000001
2020/7/24	3.640000105
2020/7/27	3.680000067
2020/7/28	3.589999914
2020/7/29	3.480000019
2020/7/30	3.359999895
2020/7/31	3.230000019
2020/8/3	3.200000048
2020/8/4	3.25999999
2020/8/5	3.24000001
2020/8/6	3.309999943
2020/8/7	3.319999933
2020/8/10	3.430000067
2020/8/11	3.559999943
2020/8/12	3.599999905
2020/8/13	3.599999905
2020/8/14	3.680000067
2020/8/17	3.710000038
2020/8/18	3.680000067
2020/8/19	3.75999999
2020/8/20	3.75999999
2020/8/21	3.900000095
2020/8/24	3.730000019
2020/8/25	3.839999914
2020/8/26	3.789999962
2020/8/27	3.829999924
2020/8/28	3.890000105
2020/8/31	3.940000057
2020/9/1	3.890000105
2020/9/2	3.950000048
2020/9/3	3.960000038
2020/9/4	3.890000105
2020/9/7	3.920000076
2020/9/8	4.090000153
2020/9/9	3.920000076
2020/9/10	3.910000086
2020/9/11	3.819999933
2020/9/14	3.940000057
2020/9/15	3.940000057
2020/9/16	4.039999962
2020/9/17	3.960000038
2020/9/18	3.980000019
2020/9/21	3.839999914
2020/9/22	3.769999981
2020/9/23	3.940000057
2020/9/24	3.869999886
2020/9/25	3.880000114
2020/9/28	4.130000114
2020/9/29	4.21999979
2020/9/30	4.050000191
2020/10/1	4.130000114
2020/10/2	4.110000134
2020/10/5	4.309999943
2020/10/6	4.369999886
2020/10/7	4.340000153
2020/10/8	4.269999981
2020/10/9	4.320000172
2020/10/12	4.300000191
2020/10/13	4.300000191
2020/10/14	4.210000038
2020/10/15	4.25
2020/10/16	4.210000038
2020/10/19	4.320000172
2020/10/20	4.360000134
2020/10/21	4.369999886
2020/10/22	4.429999828
2020/10/23	4.550000191
2020/10/26	4.579999924
2020/10/27	4.5
2020/10/28	4.429999828
2020/10/29	4.349999905
2020/10/30	4.190000057
2020/11/2	4.309999943
2020/11/3	4.46999979
2020/11/4	4.570000172
2020/11/5	4.559999943
2020/11/6	4.550000191
2020/11/9	4.679999828
2020/11/10	5.070000172
2020/11/11	5.139999866
2020/11/12	5.070000172
2020/11/13	5.110000134
2020/11/16	5.190000057
2020/11/17	5.269999981
2020/11/18	5.210000038
2020/11/19	5.25
2020/11/20	5.269999981
2020/11/23	5.360000134
2020/11/24	5.570000172
2020/11/25	5.659999847
2020/11/26	5.53000021
2020/11/27	5.519999981
2020/11/30	5.380000114
2020/12/1	5.46999979
2020/12/2	5.550000191
2020/12/3	5.489999771
2020/12/4	5.269999981
2020/12/7	5.489999771
2020/12/8	5.400000095
2020/12/9	5.360000134
2020/12/10	5.159999847
2020/12/11	5.099999905
2020/12/14	5.070000172
2020/12/15	5.050000191
2020/12/16	5.090000153
2020/12/17	5.099999905
2020/12/18	4.920000076
2020/12/21	4.889999866
2020/12/22	4.800000191
2020/12/23	4.909999847
2020/12/24	4.889999866
2020/12/29	4.960000038
2020/12/30	4.960000038
